	facts
352	I am 5 7 tall, I try to take a break and see a movie in theaters every other month, Everyday after work i buy my dog a dog biscuit, I currently work at target, Favorite band is the beetles, I have a large cd collection, I like vintage furniture, I play the bass
353	I am a doctor, I enjoy vacations at the beach, I live in a large home, Boating is my favorite activity, I take vitamin c when i have a cold, I am disabled and cannot walk, I do not eat bread, My favorite season is winter, My friend once bought me a car
354	I am a farmer, I like to hike, I lost my arm in a car accident, I am the youngest of 4 children, I graduated from college, I play video games all day, I still live at home with my parents, I am 32, I do not want a job, I eat all take out
355	I am a farmer, My hobbies include photography and hiking, I hope to travel the world one day, I have two pet dogs, My favorite music genre is rock, I go to at least 10 concerts a year, I work in retail, Madonna is my all time favorite, Lady gaga is my current favorite singer
356	I am a father, I am from texas, I work many hours, I like basketball, My favorite band is imagine dragons, My grand children mean the world to me, I like classical music, I am a pharmacist, I was a wild child in my younger years
357	I am a father, I like basketball, I work many hours, My favorite band is imagine dragons, I am a woman, I have several children, We have a dog, We live in a rural area, My parents are still married
358	I am a father, I like basketball, My favorite band is imagine dragons, I m from texas, My mother doesn t ! ove me, I was born in baton rouge, I have male pattern baldness, I am a classicly trained chef
359	I am a father, My favorite band is imagine dragons, I work many hours, I m from texas, I like basketball, I m afraid of clowns, I have four cats, Every fall i visit my sister in canada, I m a vegetarian, I take the subway to work everyday
360	I am a female, I hate tomatoes, I have 2 kids, I am very short, I need a wheel chair to get around, I wonder about what life in space would be like, I enjoy classical music, Regular life disappoints me, I don t get along with my family
361	I am a female, I am in high school, I have blonde hair, I like skateboarding, I m allergic to milk, I am a writer, I dream of becoming a famous actress, Zebras are my favorite animals, I don t like the beach
362	I am a female, My favorite food is pizza, I am in high school, I have blonde hair, I sing in the shower, I work in a diner, I am always late, I also own a cupcake business, I live with my best friend
363	I am a female, I need a wheel chair to get around, I am very short, I have 2 kids, I hate tomatoes, I live down the street from miley cyrus and pnb rock, I enjoy hanging out with my imaginary friends as a hobby, I love eating barbeque sandwiches and pizza puffs, My name is jovannie and i m 19
364	I am a foodie, I love to chat with my friends, I like to cook, I like to go shopping with my daughters, I love kids and dogs, I love the tigers baseball team, I like the tv show the walking dead, I like to hunt, I am blonde
365	I am a hippie, I love to recycle, I drive a large , blue van, I have curly , red hair, I have two tattoos, I take vitamin c when i have a cold, My friend once bought me a car, I do not eat bread, My favorite season is winter, I am disabled and cannot walk
366	I am a hippie, I have two tattoos, I drive a large , blue van, I have curly , red hair, I love to recycle, I work as a mall cop, I am a huge fan of dogs, I wish to buy a corvette when i retire, I am recently divorced, I am trying to write an ebook on animals
367	I am a hippie, I have curly , red hair, I have two tattoos, I drive a large , blue van, I am allergic to apples yet still eat them, I enjoy karaoke every friday night, I enjoy crosswords , crocheting , and football, I am a sixth grade teacher
368	I am a hippie, I drive a large , blue van, I love to recycle, I have two tattoos, My hobbies include rock collecting and making macaroni art, I work at the gas station as a part time job, I once saw peyton manning at the grocery store, My life s goal is to be the world s foremost encyclopedia salesman, I am a traveling encyclopedia salesman
369	I am a hippie, I drive a large , blue van, I love to recycle, I have two tattoos, I want to get married again, I am not going to go the extra mile anymore, I am angry at my coworker, I wish my boyfriend did not want an open relationship, I have 10 years experience in our industry , yet she gets promoted
370	I am a lawyer, My favorite food is steak, I love to run, My wife just left me, My favorite city is new york, I just started working as a librarian, I don t know how to swim, I am a vegetarian, I am catholic, My favorite band is nickelback
371	I am a lawyer, My favorite food is steak, My wife just left me, I love to run, My favorite city is new york, My mother is a ballet dancer, I have six tattoos , all of cats, I have a pencil thin mustache, I am from baltimore md
372	I am a lawyer, My favorite food is steak, My wife just left me, My favorite city is new york, I love to run, I have epilepsy, My parents are not married anymore, I have one son, I like to go swimming, I like to read
373	I am a mother, I am a wife, I love my grandchildren, I own a custom upholstery shop, I live by a lake, I started at google on an internship, I am a software engineer, I live in seattle, I work at google
374	I am a mother, I live by a lake, I am a wife, I own a custom upholstery shop, I also like eating sushi, I am studying for my master s, Cooking is one of my pass times, My favorite food is pizza, I am a student in social sciences
375	I am a mother, I live by a lake, I love my grandchildren, I am a wife, I own a custom upholstery shop, I have appeared on the show jeopardy, I am a recovering alcoholic, I once lived in a storage locker for two months, I make pottery
376	I am a mother, I have two children, One child has autism, I work as a teacher and love my job, I am a national guard officer, I love cold , wintry weather and snow, I eat too much fast food, I work as a public affairs liaison, I drive a 2011 volkswagen passat
377	I am a mother, I have two children, One child has autism, I have two dogs who are like my babies, I work as a teacher and love my job, My favorite food is mushroom ravioli, I have never met my father, My mother works at a bank, I work in an animal shelter, I speak fluent french
378	I am a mother, I want to feel pretty, I want to be desired, I like to eat, My mother was an rn, I love history, I am a technician, My father was a dry wall finisher
379	I am a mother, I love to read and cook, I am a nurse at a hospital, My favorite band is the rolling stones, I have 2 dogs, I have red hair, I enjoy reading and cooking, I am a runner, I like tall men
380	I am a mother, I am a nurse at a hospital, My favorite band is the rolling stones, My favorite food is mexican food, I love to read and cook, I am a meataholic, I love rap music, I like smoking weed, My dad works for stifle, I have a job as an it agent
381	I am a mother, I have two dogs who are like my babies, I work as a teacher and love my job, I have two children, One child has autism, My favorite band used to be toto, My dogs name is toto, My grandma is from denmark, My favorite food is meatloaf, My car is green and smells weird
382	I am a mother, My favorite band is the rolling stones, I love to read and cook, I am a nurse at a hospital, My favorite food is mexican food, My sister belongs to a cult and has not spoken to the family in years, I like to perform stand up comedy, I have a career in party planning, My father was a member of the communist party
383	I am a rapper, I just bought a new mansion, I live in japan and own the biggest mansion in the country, I am touring with frank ocean, I drive a ferrari, I have a very tone body, I have a collection of video games, My son is a straight a student, My wife and i enjoy long sunday drives, I work in a warehouse
384	I am a roofer, I played football in high school, My favorite food is steak cooked well done, I always have a beer after work, I drive a lifted chevy truck, My father worked for ge, Green is my favorite color, I love animals, I am an aspiring singer, I enjoy playing tennis
385	I am a runner, I have 2 dogs, I like tall men, I have red hair, I am a nurse at a hospital, My favorite band is the rolling stones, I am a mother, I love to read and cook
386	I am a runner, I like tall men, I enjoy reading and cooking, I have 2 dogs, I work in an office, I have a cat named speckles, I have two tattoos, I enjoy shopping
387	I am a savage, I love the outdoors, I work for the discovery channel creating videos, I have no technological skills, I am an army ranger, I secretly love my long deployments , because it gets me away from conventional life, I have a wife and two kids back in the states, I am not afraid to die, I would be honored to give my life for my country
388	I am a savage, I have no technological skills, I am stuck in the past due to remoteness, I love the outdoors, I love to sleep in, I have two brothers, I believe in love at first sight, I have been a vegan since i was 5
389	I am a savage, I am stuck in the past due to remotness, I have no technological skills, I love the outdoors, I work for the discovery channel creating videos, I am a volunteer firefighter, I have a college degree in marketing, I am currently trying to open my own grocery store, I am still living at home at age 30, I am colorblind
390	I am a savage, I work for the discovery channel creating videos, I am stuck in the past due to remotness, I love the outdoors, I like to go to the farmer s market every weekend, I am committed to the environment, I live in nashville, I play music in my spare time, I work in academia at a local university
391	I am a savage, I work for the discovery channel creating videos, I am stuck in the past due to remotness, I have no technological skills, I work as a contractor for a cab company, I love rock music, I am engaged, I am taking courses online, I like ice cream
392	I am a viking, I like to go fishing on my viking boat, I have a big beard, My hobbies include pillaging and fine dining, My mother is a teacher, I am one of four siblings, My favorite color is blue, I like to draw, I live in an apartment
393	I am a viking, I like to go fishing on my viking boat, My hobbies include pillaging and fine dining, I have a big beard, I like sleeping in, I love fall and winter, I sometimes wonder why i am not married, I have brown hair, I like eating healthy foods
394	I am a viking, My hobbies include pillaging and fine dining, I like to go fishing on my viking boat, Its cold where i live, I love to play tennis, I also love to travel, I work as a lifeguard, My dad works offshore
395	I am a weirdo, I wear dingy clothes, I have often been called a slacker, I have blue and orange hair, My favorite band is tool, I fly airplanes, I dropped out of college, I am in the army
396	I am a writer, I have a dog, My hair is black, I like rock climbing, If things are not done right i will redo them again and again, I work too much, I think i need a vacation, I am a perfectionist, I take forever to get tasks done so i start early and clock out late
397	I am a writer, I have a dog, I like rock climbing, I am gluten free, My hair is black, I like the taste of cheese, I like the music group the backstreet boys, I need to take 4 pills a day to live, I am younger then 46
398	I am a writer, I am gluten free, I like rock climbing, I have a dog, My hair is black, I own my home, My car is blue, I live in colorado, I have an mba degree, I am married
399	I am a writer, I don t like the beach, I m allergic to milk, I dream of becoming a famous actress, Zebras are my favorite animals, I working in a publishing building, I am a female and love to be surrounded by males, People say i have a cute laugh, I love to cook for my family and friends, I am still in love with my ex boyfriend
400	I am a writer, I enjoy going to museums, I have ten nieces and nephews, I am married, I enjoy my job , as a teacher, I enjoy video games, I enjoy singing, Magic mike is my favorite movie, I live in a big city
401	I am a writer, I have ten nieces and nephews, I live in new york city, I am married, I enjoy going to museums, I like to pickle eggs, I like to come up with new hairstyles, I like to do my nails, I like to play volleyball
402	I am a writer, I have ten nieces and nephews, I enjoy going to museums, I live in new york city, I love helping people, I am a older woman, I live in a rural area, I retired so i can spend more time with my husband and helping people, My favorite food is pasta
403	I am a writer, I dream of becoming a famous actress, I don t like the beach, Zebras are my favorite animals, My newly bought laptop has a bum battery, I write short stories in my document tab with the use of a prompting app, My college courses are on philosophy and history, My glasses are held together by tiger printed duct tape
404	I am a writer, I try to go hunting with my brothers several times a year, I live in springfield , mo, I just bought my first home, I am a waitress at a popular houston club, I like jogging in my spare time, I am hoping to move to australia soon to marry my boyfriend, I also give blood monthly in honor of my sister who died
405	I am a writer, I try to go hunting with my brothers several times a year, I just bought my first home, I love to barbecue, My grandson s favorite type of cake is chocolate, I am an old woman, My children vist often, I like to bake for them
406	I am an actor, I have been acting since i was ten years old, I made my first movie when i was 18, I starred in television commercials when i was young, I love my girlfriend, I work in a bookstore, I dyed my hair pink, I have an older brother
407	I am athletic, I am a freshman in college, I love cats, I have never broken a bone, I am in high school, I love disney movies, Ariel is my favorite princess, I love to dance, I am on a competitive dance team
408	I am athletic, I am a freshman in college, I love cats, I have never broken a bone, My favorite food is pizza, I make 50k a year, I love animals, I am a vegetarian, I work for peta
409	I am athletic, I have never broken a bone, I am a freshman in college, My favorite food is pizza, I like to draw and paint in my spare time, I wear a uniform to work, I drive a four wheel drive vehicle, My house is paid for, My favorite color is blue
410	I am bisexual, I live with my parents, I just lost my job and i am looking for something new, I think i might need help, I work as a meeting coordinator, I live in upstate new york, I live with my husband and two children, I love to take road trips, My favorite place to visit is seattle
411	I am bisexual, I think i might need help, I get sad a lot, I live with my parents, I teach first grade, My favorite pizza is pepperoni, I love to go shopping, I drink lots of iced tea, I married my high school sweetheart
412	I am canadian, I love video games, My favorite sport is soccer, My brother works at best buy, I am male, I have two dogs, I like potatoes, I work in accounting
413	I am canadian, My brother works at best buy, I love video games, I have two cats , milo and fio, My favorite sport is soccer, I am a history buff, I love animals and like working with them, My parents are divorced, I am engaged to be married, I am in a local theater company
414	I am catholic, My favorite band is nickelback, I just started working as a librarian, I am a vegetarian, I am in 3rd grade, I live with my parents and my little brother, I am a french girl , but i moved to the us last year, I do not have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall
415	I am diabetic, I like video games, My mother worked for apple, My favorite genre of music is rock, I have never been employed, I am an art teacher, I enjoy clothing with exotic prints, I like to sew my own clothing, Sometimes i like to visit thrift shops, I like to recycle my thrift shop finds and make new items
416	I am divorced, I am a nurse, My favorite drink is dr pepper, I enjoy reading, I work in the emergency room, I am a deaf man, I sometimes scratch my nose for fun, I love to read books, My favorite number is 7, I never learned how to drive
417	I am divorced, I work in the emergency room, My favorite drink is dr pepper, I am a nurse, I owe 2 monitors for work, I prefer iphone over samsung, I love watching superheroes shows, I am single
418	I am not thin, I am short, I like to sew, I have one cat, One of my favorite shows is face off on say, I like things in organized, I am a stay at home mom, I enjoy cooking but not baking, I enjoy a good run
419	I am not thin, I like to sew, I have one cat, I am short, My hair is brown, I like reading horror novels, My favorite drink is pepsi, Hotdogs are my favorite food, My weekends are filled with bird watching
420	I am very shy, I am recently divorced, I wear glasses, I have no children of my own, My favorite color is blue, I love to hunt, I hate seafood but love mexican food, I grew up in the deep south
421	I am very shy, I have never had alcohol, I am content with my life, I own a dog who is my best friend, If i were to be reincarnated , i d want to come back as a hippopotamus, I enjoy putting alcohol in my coffee, I can t get enough of lindsey stirling s music, I could eat meatloaf every night and never get tired of it, I smoke two packs of cigarettes most days
422	I can t drive, I am a house wife, I am on a diet, I have been married eight years, I am thirty two years old, I like baking, Wedding cakes are my specialty, I enjoy walking around the park, I go to the theater to watch plays
423	I cannot cook, I cannot stand beets, I enjoy sleeping in on my days off, Every day i drive an hour to work in this horrible traffic, I am an ovo vegetarian, I work in public relations, I am from seattle, My parents raised me as a buddhist, My favorite band is bon over, I am a vegan
424	I do not work, I hate tacos, I like to swim, I am bald, My mom is a music teacher at the elementary school, I have a pomeranian, I play the violin, My older sister plays clarinet
425	I do not work, I like to swim, I hate tacos, I am bald, The death of kurt cobain marred my middle school years, I want to visit rome , but i cannot make myself go alone, I do not have a relationship with my deadbeat dad, I flirted with the dmv officer in order to pass my driving exam, I still like combat boots with babydoll dresses
426	I draw comics, I love anime, I visit comic con, I love role play, I read a lot, I was the first test child for sesame street, I speak six languages, I always carry an edged weapon, I once started a forest fire in california
427	I drive a bmw, I am in debt, I have a lot of friends, I love to shop, I ve been to canada two times my entire life, My uncle use to work on fish boats in florida, My father use to drive a taxi cab in the 1970 s, I was once on the local news , and not for anything illegal
428	I drive a bmw, I love to shop, I am single, I am in debt, I have a younger sibling, I have flown out of the country, I love hockey, My befriend is from out of town
429	I drive a jag, I am an old man, I don t have a lot of family members that i like, I am an angry person, I like to listen to country music, I work at a bar, I surf everyday, People say i can cook well
430	I drive a jag, I am an angry person, I am an old man, I don t have a lot of family members that i like, I like to go to bars and people watch, I hate winter, I love hamburgers, I work as an electrician, I go running a lot, I always sleep 8 hours a day
431	I eat healthy, I am very social, I make straight as, I am a high school student, I have 3 dogs, I work as an accountant, I like to read horror novels, My favorite color is blue
432	I eat healthy, I make straight as, I am very social, I am in the band, My favorite color is orange, I m in a rock band, I have really long fingernails, I hate wearing make up, I own a hot pink moped
433	I eat healthy, I am a high school student, I am in the band, I am very social, I love hot wings, I have three kids, I sing in the church choir, I grew up in the trailer park
434	I hate school, I fell in love this summer, I live on a lake, I enjoy summer walking and reading, I donate any overstock to charity, I shop several times a week, I love to save money, I am a couponed, I like to keep my stockpile organised
435	I hate school, I fell in love this summer, I enjoy summer walking and reading, I am a average american youth, I live on a lake, I have three pets, I would like to go to school to become a veterinarian, I am currently on a diet, I love animals and i want to help them
436	I hate winter, I always sleep 8 hours a day, I work as an electrician, I love hamburgers, I go running a lot, I have a dog named george, I like going to the beach, I used to work for a cable company, I love to ride my bike, I like my job
437	I have 2 cats, I am from mexico, I like to bake, I used to be a chef , but i m a teacher now, I like to go on walks, The only autographs i ve ever wanted are from authors, My mother is a librarian, I used to wear glasses as a child, I m applying for publishing jobs
438	I have 2 cats, I like to go on walks, I am from mexico, I like to bake, My father has a very prestigious job, My favorite band is iron maiden, I am a lover of italian food, I enjoy watching netflix with family
439	I have 2 cats, I like to go on walks, I am from mexico, I like to bake, I started working at google last week on self driving car research, I love computers, I am considered a nerd by many, I i love logical and rational thinking, I am very good at math and science
440	I have 2 dogs, I drive a red car, I am an accountant, My favorite musician is bruno mars, I enjoy running, I am the head of the gun club, I am a poet, My friends and i enjoy golfing on sunny days, I have a beta fish, I donate old clothes to the homeless
441	I have 2 kids, I am a doctor, My favorite place is the mountains, I like to play baseball, I love katy perry, I drink diet coke, I drive a ford taurus, I work in retail, I spend too much time shopping
442	I have 2 kids, My husband is a lawyer, I have 3 dog, I work at a vet, I like to take cold showers, I struggle with maintaining eye contact, I drive a moped, My favorite video game is halo 3
443	I have 2 kids, My husband is a lawyer, I love flowers, I have 3 dog, I work at a vet, I am primarily a meat eater, I am a guitar player, My parents do not know i am gay, Welding is my career field, I like playing video games
444	I have 3 cats, I dye my hair blonde, I love dancing, I am an only child, I like going to foreign countries, My glasses are held together by tiger printed duct tape, I write short stories in my document tab with the use of a prompting app, My newly bought laptop has a bum battery, My college courses are on philosophy and history
445	I have 3 cats, I dye my hair blonde, I am an only child, I like going to foreign countries, I am currently listening to bach, I graduated from princeton, My favorite thing to do is to go to museums, I travel at least once a year
446	I have 3 cats, I dye my hair blonde, I like going to foreign countries, I love dancing, I am an only child, I graduated top of my class, I work as a trauma surgeon, My wife is a college professor, I have one little girl, My mother was a concert pianist
447	I have 3 dogs, I work as an accountant, I like to read horror novels, I like to go to the lake, I like to go hiking on the weekends, I can speak arabic , english , and french, I am a barista, I play jazz piano in a band
448	I have 3 dogs, My favorite color is blue, I work as an accountant, I like to go to the lake, I like to read horror novels, I like to work on cars, My favorite music genre is classic rock, I like to try different beers from various countries, I work in marketing for a large company
449	I have 3 dogs, My favorite color is blue, I like to read horror novels, I work as an accountant, I like to go to the lake, My brother thinks he is a viking, My nails are painted green, My masters degree is in italian literature, I live in a nice attic apartment in portland or
450	I have 3 kids, I know karate, I am a scientist, I want to go to mars, I am a kindergarten teacher, I have a puppy named tiki, I love music of the 1980s , especially the pretenders, My favorite food is spicy tex mex
451	I have 3 kids, I know karate, I am an avid artist, I want to go to mars, I love my impala, Summer is my favorite season, I enjoy fishing, I like classic radio programs
452	I have 3 kids, I do not eat healthy, I need a soda with me at all times, I married my high school sweetheart, I give everybody that comes in front me a fair chance, My next job will be in the federal court, I used to be a lawyer, My name is albert
453	I have 3 kids, I need a soda with me at all times, I married my high school sweetheart, I like the group the rolling stones, I hit for over forty million dollars, I used to work a 9 5 job as a telemarketer, One day i played the lottery, I will never punch a clock again
454	I have 3 kids, I like the group the rolling stones, I need a soda with me at all times, I do not eat healthy, I have a son, I like going on walks, I run a small bakery, I love to laugh
455	I have 3 kids, I graduated with a statistics degree, I am a blackjack dealer, I am currently going back to school to try and become a casino manager, I know how to count cards in blackjack, My father is a preacher, My favorite color is purple, I go to church on sunday, I have a 3 year old
456	I have 3 kids, I graduated with a statistics degree, I know how to count cards in blackjack, I am currently going back to school to try and become a casino manager, I am a mother, I like to eat, I want to be desired, I want to feel pretty, I feel overweight
457	I have 4 dogs, I enjoy swimming, I do not like green eggs and ham, I have a missing pinky toe, I love cooking, I love family time, I am a soccer mom, I teach cheerleading in my spare time, I cook every night
458	I have 5 kids, I love to draw, I love new gadgets, I love to socialize, I am great with babies, I chew my nails, I am studying to be a special education teacher, I was a navy brat and have attended 16 schools in 12 years, I kayak at the lake on weekends, I make friends fast and say goodbye fast
459	I have 5 kids, I love to draw, I love to socialize, I love new gadgets, I am great with babies, My favorite color is red, I have 2 turtles, I like to play video games, I have purple hair
460	I have 5 kids, I love new gadgets, I love to socialize, I love to draw, I love dancing, I like going to foreign countries, I am an only child, I dye my hair blonde, I have 3 cats
461	I have 5 kids, I love new gadgets, I love to socialize, I love to draw, I am great with babies, I don t like acting, I don t like kids, I have 3 ferrari cars in my garage, My father was a famous actor, I have 3 ex wives
462	I have 5 kids, I am great with babies, I love new gadgets, I love to draw, I love to socialize, I would love to visit the pyramids, I teach middle school art, I want to write a book before i die, I am excellent at playing pool, I still like unicorns even though i am an adult
463	I have 5 kids, I am great with babies, I love to socialize, I love to draw, I also like to mountain bike, I love to hike, I am an environmental activist, I have visited 12 national parks in the us
464	I have asthma, I love to dance, I am 6 foot tall, I like to go running, I used to play hockey, I enjoy vacations at the beach, Boating is my favorite activity, I work for a large hospital, I am a doctor, I live in a large home
465	I have asthma, I like to go running, I love to dance, I am 6 foot tall, I used to play hockey, My father is a preacher, I have a horse named beauty, My husband is a soldier in the us army, I live in a house in the country, I am pregnant with my first child
466	I have asthma, I like to go running, I love to dance, I used to play hockey, I am 6 foot tall, My wardrobe is all band tees, I am an anime fan, I listen to techno music , exclusively, My job involves building drones
467	I have braces, I am fifteen years old, I live in america in the state of florida, My family has three dogs and my dog is named maddie, I am a writer, I have ten nieces and nephews, I enjoy going to museums, I am married, I live in new york city
468	I have braces, I am fifteen years old, I live in america in the state of florida, I just started the tenth grade and my concentration is in science, There s only been one set of twins in my family, I ve been cheated on by every ex girlfriend except for one, I can make fart noises with my arm pits , even some musical melody s, I use to be a huge superman fan as a child, My biggest fear in life is heights
469	I have braces, I just started the tenth grade and my concentration is in science, I live in america in the state of florida, I am fifteen years old, We are getting married in a park, I am getting married next week, My family hates my fiancé, We will be traveling to niagra falls for our honeymoon
470	I have braces, I just started the tenth grade and my concentration is in science, My family has three dogs and my dog is named maddie, I am fifteen years old, I am a graduate student, Although i am studying to be a doctor , animals like me, I volunteer with dogs, I am in between classes, I am always early
471	I know karate, I am an avid artist, I want to go to mars, I have 3 kids, I am a scientist, I love walking in the park, I have six older sisters, I love chocolate, I am an avid fan of the boston celtics
472	I know karate, I want to go to mars, I am an avid artist, I am a scientist, I have 3 kids, I am a freshman in college, I am athletic, My favorite food is pizza, I have never broken a bone
473	I like baking, Wedding cakes are my specialty, I enjoy walking around the park, I go to the theater to watch plays, I m gay but i haven t told my parents yet, I like comic books and anime, I take things very literally, When i have free time , i sketch my favorite characters, I play a lot of video games
474	I like baking, Wedding cakes are my specialty, I go to the theater to watch plays, I enjoy walking around the park, I live in america in the state of florida, I am fifteen years old, My family has three dogs and my dog is named maddie, I have braces, I just started the tenth grade and my concentration is in science
475	I like makeup, I love to exercise, I have a nice smile, I m not a nice person, My best friend is my dog allie, I ride my red bike to work everyday, My favorite pass time is gazing at clouds, I love chocolate milk shakes
476	I like makeup, I have a nice smile, I love to exercise, I m not a nice person, I play the piano, I make my own clothes, I ran into jimmy fallon just the other day, I hate flowers, I am going bald
477	I like makeup, Many people want to be my friend, I love to exercise, I have a nice smile, I like to listen to someone else reading a book, I moved out when i was 14, My mother met elvis, I like cartoons more than movies
478	I like my job, I have a dog named george, I used to work for a cable company, I like going to the beach, I have a pug named corky, My favorite place to go is the mall, I was born completely deaf, I am single and go on dates regularly, I enjoy playing tennis
479	I like my job, I like going to the beach, I have a dog named george, I love to ride my bike, I own a corvette, I am a mechanic, I own a german shepard, I like to surf, I live in california
480	I like my job, I like going to the beach, I used to work for a cable company, I love to ride my bike, I have a dog named george, We also have three dogs and two cats, Our kids are 14 and 12 years old, My name is john and i live in dallas , tx, I work as a physical therapist , and my wife is a school nurse
481	I like nature, My favorite color is blue, I love eating out, I work full time, I spend a lot of time watching obscure foreign film on netflix, I prefer eating at home because people make me nervous, I hate social obligations because i always say the wrong thing, My dad owns a appliance store that i don t want to inherit, I like running in marathons
482	I like soccer, I love game of thrones, My brother used to be in the navy, My favorite food is mashed potatoes, I want to feel pretty, I want to be desired, I am a mother, I feel overweight, I like to eat
483	I like soccer, My brother used to be in the navy, My favorite food is mashed potatoes, I am a vegan, I love game of thrones, In the evenings i watch the door at a club where they play punkrock, I draw comic books, I like dr pepper and black jack gum , but not together, My favorite show is scooby doo, I work in a corner grocery store during the day
484	I like soccer, My brother used to be in the navy, My favorite food is mashed potatoes, I am a vegan, I love game of thrones, I like eating pretzels, My favorite band is vv nation, I really like watching star trek, I work for the railroad, I am an omnivore
485	I like soccer, My favorite food is mashed potatoes, I am a vegan, I love game of thrones, I only eat at restaurants, I have 1 pair of shoes, My mother has 500 pairs of shoes, I am allergic to shellfish and cats
486	I like sports, I work for a government agency, My favorite food is pizza, My favorite team is the washington nationals, I prefer baseball over football, I graduated high school in 1986, I have a ten year old son, I hope to become a music teacher after retirement, I am doing financial business now, I play piano
487	I like sports, I prefer baseball over football, My favorite team is the washington nationals, My favorite food is pizza, I work for a government agency, I am a professional horse racing handicapper, I have made over 90 , 000 on trifecta bets alone this year, I have not been on a date since high school, I am trying to open my own teaching program for horse racing, I hope one day to own a stable of at least 10 race horses
488	I like sports, My favorite team is the raptors, I usually go to bed late, I am studying to be a dentist, Everyday after work i buy my dog a dog biscuit, I currently work at target, I am 5 7 tall, I live in a house in california, I try to take a break and see a movie in theaters every other month
489	I like sports, My favorite band is rise against, My favorite team is the raptors, I usually go to bed late, My favorite movie is dirty harry, I collect stamps, I am a mortician, I want to learn how to fly an airplane, I love the colors yellow and teal
490	I like to eat, I am a mother, I want to feel pretty, I want to be desired, I feel overweight, I get my nails done every saturday, I secretly love watching wwe wrestling, My family owns a grocery store, I work as a receptionist at a lawyer s office, I daydream about cafes in paris
491	I like to eat, I want to be desired, I feel overweight, I am a mother, I want to feel pretty, My husband is a lawyer, I have 2 kids, I work at a vet, I have 3 dog, I love flowers
492	I like to run, I love cheese cake, My favorite movie is 16 candles, I drive 300 mile a week for work, I am one of four siblings, My favorite color is blue, I like to draw, My mother is a teacher
493	I like to run, My favorite movie is 16 candles, I have 3 children, I drive 300 mile a week for work, I like rock music, My name is gerald, My favorite color is green, I like basketball
494	I like to sew, I like to hunt for my food, I have few friends, I like katy perry as a musician, I like to go swimming, I like to make fresh pies, My hobby is sewing, I have a garden in my yard
495	I like to sew, I like katy perry as a musician, I am a great baker, I have few friends, I talk in my sleep, I like tacos, I watch a movie sundays evenings, I own a cat
496	I like to ski, I like to eat cheetos, I hate mexican food, I have went to mexico 4 times this year, My wife doesn t like me anymore, I m terrified of heights, I have four sisters, I believe that mermaids are real, I love iced tea, My mom is my best friend
497	I like to ski, I like to eat cheetos, My wife doesn t like me anymore, I have went to mexico 4 times this year, I hate mexican food, Starbucks is my favorite hang out spot, I have a cat, Subway is my favorite fast food restaurant, I collect little figurines, I spend my weekends browsing antique stores
498	I loove zumba, I love the smell of beans, I love huge paintings, I like collecting rocks, I like collectible dragon ball z figures, I am constantly drinking, If i m not drinking , i m thinking , which makes me uncomfortable, I can t hold down a job for very long, My family loves me , but keeps their distance
499	I loove zumba, I like collectible dragon ball z figures, I love huge paintings, I like collecting rocks, I love the smell of beans, I once lost a diamond at a debutante ball, I am unemployed and living off a trust fund, I like getting my nails done, I like drinking expensive wine, I own a french bulldog
500	I love ballet, My favorite color is purple, My favorite food is macaroni and cheese, I have blonde hair, My hair is as red as the sunset, I have a thick full beard, I have 8 brothers and we are close, My parents are in there 80 s, I am only 5 foot tall
501	I love ballet, My favorite food is macaroni and cheese, My favorite color is purple, My father is a retired police officer, I have bowled a 300 game twice in my life, I like to build furniture, I have been held hostage in a store robbery situation, I clean houses for extra money
502	I love comics, I love reading, I have a cat as a pet, I work from home, I like to attend wine tours, I enjoy visiting museums, We have two sons, My husband is 20 years older than me, I like to paint
503	I love comics, I work from home, I have a cat as a pet, My favorite band is nightwish, I love reading, I m the youngest of five, I work at the hospital as a nurse, I live in the city of grand rapids , michigan, I have pink hair, I m allergic to bees
504	I love comics, I love the walking dead, I eat junk food, I do not have a job, I am a couch potato, I like to drink tea, I like to eat hard boiled eggs, I like to draw other people, I love people with a sense of humor
505	I love comics, My favorite band is nightwish, I work from home, I have a cat as a pet, My favorite band is iron maiden, I enjoy watching netflix with family, I am a lover of italian food, My father has a very prestigious job
506	I love comics, I ve started creating my own comics and presenting them to publishers, I decided to publish my creations on internet, I ve been rejected several times and thought of giving up with this, And also love drawing, I love meat, I have a new job selling cars, I love to paint pictures, My wife use to be a teacher
507	I love comics, I ve started creating my own comics and presenting them to publishers, I ve been rejected several times and thought of giving up with this, And also love drawing, I decided to publish my creations on internet, I like football, We drink beer and eat food, It s great fun, We watch the games together
508	I love hockey, I sleep 8 hours, My mother looks after my grandmother, I prefer texting over phone calls, I am a karate black belt, My wife has terminal cancer, I have 3 children, I love to sing, I am a business man
509	I love hockey, I ve a younger sibling, I ve flown out of the country, I studied business as my major, My bestfriend is from out of town, I think dogs could learn to read if they were trained well, I am pretty poor financially, I have a few pet iguanas, I have a brother but we don t talk much yet
510	I love hockey, I ve flown out of the country, I ve a younger sibling, My bestfriend is from out of town, I studied business as my major, My favorite genre of music is rock, I do not know how to swim, My grandpa was in wwii, My favorite food is steak, I own a chevy tahoe
